DAILY REVENUE,,,,,,,,
EOM,DATE,DAY,No.,CLUB,Description,link ce,to link pnl,REV
45838,45809,1,,CPT,Yoga Class,,,
45838,45809,1,,CPT,Group X,,,
45838,45809,1,,CPT,GX 1:1,,,
45838,45809,1,,CPT,Group Class,,,
45838,45809,1,,CPT,Supplement,Supplement,Supplement,0
45838,45809,1,,CPT,VAS,,,0
45838,45809,1,,CPT,Retail & Califresh,Califresh and Retail,Califresh and Retail,102.019239102175
45838,45809,1,,CPT,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,11,DNG,CC,NMS,NMS,111.126242680103
45838,45809,1,,DNG,CS,,,
45838,45809,1,,DNG,Gym,,,
45838,45809,1,,DNG,PT,PT,PT,108.9472967452
45838,45809,1,,DNG,CES,PT,PT,0
45838,45809,1,,DNG,Stretching,PT,PT,181.578827908666
45838,45809,1,,DNG,Kickfit,PT,PT,0
45838,45809,1,,DNG,Mixed,PT,PT,0
45838,45809,1,,DNG,Pilates,PT,PT,0
45838,45809,1,,DNG,Physio,PT,PT,0
45838,45809,1,,DNG,HPX,Hypoxi,Hypoxi,237.108934916371
45838,45809,1,,DNG,Yoga,,,
45838,45809,1,,DNG,YI 1:1,YI,Y&I,0
45838,45809,1,,DNG,Yoga Class,,,
45838,45809,1,,DNG,Group X,,,
45838,45809,1,,DNG,GX 1:1,,,
45838,45809,1,,DNG,Group Class,,,
45838,45809,1,,DNG,Supplement,Supplement,Supplement,0
45838,45809,1,,DNG,VAS,,,0
45838,45809,1,,DNG,Retail & Califresh,Califresh and Retail,Califresh and Retail,79.7989427160066
45838,45809,1,,DNG,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,12,LTC,CC,NMS,NMS,703.799536973989
45838,45809,1,,LTC,CS,,,
45838,45809,1,,LTC,Gym,,,
45838,45809,1,,LTC,PT,PT,PT,0
45838,45809,1,,LTC,CES,PT,PT,0
45838,45809,1,,LTC,Stretching,PT,PT,0
45838,45809,1,,LTC,Kickfit,PT,PT,0
45838,45809,1,,LTC,Mixed,PT,PT,0
45838,45809,1,,LTC,Pilates,PT,PT,0
45838,45809,1,,LTC,Physio,PT,PT,0
45838,45809,1,,LTC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,LTC,Yoga,,,
45838,45809,1,,LTC,YI 1:1,YI,Y&I,0
45838,45809,1,,LTC,Yoga Class,,,
45838,45809,1,,LTC,Group X,,,
45838,45809,1,,LTC,GX 1:1,,,
45838,45809,1,,LTC,Group Class,,,
45838,45809,1,,LTC,Supplement,Supplement,Supplement,0
45838,45809,1,,LTC,VAS,,,0
45838,45809,1,,LTC,Retail & Califresh,Califresh and Retail,Califresh and Retail,32.4464858306612
45838,45809,1,,LTC,Retail & Califresh,Califresh FW,Califresh and Retail,
45838,45809,1,13,PPC,CC,NMS,NMS,0
45838,45809,1,,PPC,CS,,,
45838,45809,1,,PPC,Gym,,,
45838,45809,1,,PPC,PT,PT,PT,0
45838,45809,1,,PPC,CES,PT,PT,0
45838,45809,1,,PPC,Stretching,PT,PT,0
45838,45809,1,,PPC,Kickfit,PT,PT,0
45838,45809,1,,PPC,Mixed,PT,PT,0
45838,45809,1,,PPC,Pilates,PT,PT,0
45838,45809,1,,PPC,Physio,PT,PT,0
45838,45809,1,,PPC,HPX,Hypoxi,Hypoxi,0
45838,45809,1,,PPC,Yoga,,,
45838,45809,1,,PPC,YI 1:1,YI,Y&I,0
45838,45809,1,,PPC,Yoga Class,,,
45838,45809,1,,PPC,Group X,,,
45838,45809,1,,PPC,GX 1:1,,,
45838,45809,1,,PPC,Group Class,,,
45838,45809,1,,PPC,Supplement,Supplement,Supplement,0
45838,45809,1,,PPC,VAS,,,0
