,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
,SCT,Vật tư tiêu hao,Utilities," 22,300 "," 22,171 "," 23,006 "," 18,937 "," 21,527 "," 20,594 "," 21,261 "," 22,549 "," 20,711 "," 18,995 "," 22,603 "," 23,251 "," 21,214 "," 12,228 "," 22,927 ",108%,-1%,3%
,SCT,Chi phí chung khác,Other OH," 19,411 "," 20,598 "," 21,279 "," 20,270 "," 19,072 "," 20,090 "," 18,674 "," 17,555 "," 15,319 "," 17,644 "," 18,815 "," 17,664 "," 19,479 "," 9,728 "," 18,239 ",94%,3%,-6%
,SCT,Giặt khăn,Laundry Service," 8,471 "," 8,975 "," 9,297 "," 7,694 "," 8,239 "," 8,568 "," 7,577 "," 8,365 "," 6,087 "," 7,560 "," 8,888 "," 8,512 "," 8,700 "," 4,640 "," 8,700 ",100%,2%,3%
,SCT,Bảo vệ,Security, 842 , 839 , 894 , 895 , 898 , 838 , 868 , 29 , 842 , 838 , 663 , (508), 78 , 41 , 78 ,100%,-115%,-91%
,SCT,Vệ sinh,Cleaning_Center," 5,206 "," 5,333 "," 5,379 "," 6,658 "," 6,065 "," 5,900 "," 5,949 "," 6,010 "," 4,653 "," 5,970 "," 5,953 "," 6,503 "," 6,228 "," 3,322 "," 6,228 ",100%,-4%,20%
,SCT,Khác,Others," 4,893 "," 5,450 "," 5,708 "," 5,023 "," 3,870 "," 4,785 "," 4,280 "," 3,151 "," 3,737 "," 3,276 "," 3,312 "," 3,156 "," 4,473 "," 1,725 "," 3,234 ",72%,2%,-34%
,SCT,Chi phí cố định - Thuê,Total Fixed cost-rental," 65,528 "," 67,868 "," 66,642 "," 67,895 "," 65,534 "," 68,079 "," 65,756 "," 69,787 "," 72,308 "," 67,899 "," 67,681 "," 70,340 "," 69,010 "," 36,805 "," 69,010 ",100%,-2%,5%
,SCT,Chi phí cố định - Khác,Total Fixed costs - Others," 3,487 "," 3,119 "," 2,843 "," 3,607 "," 2,953 "," 3,574 "," 3,530 "," 2,838 "," 4,448 "," 2,885 "," 3,033 "," 2,337 "," 2,685 "," 1,432 "," 2,685 ",100%,15%,-23%
,SCT,TỔNG CHI PHÍ,TOTAL COST," 211,242 "," 209,255 "," 218,460 "," 207,754 "," 220,579 "," 206,402 "," 223,335 "," 190,375 "," 173,100 "," 202,405 "," 200,322 "," 190,497 "," 223,448 "," 118,581 "," 222,340 ",100%,17%,5%
,SCT,,,,,,,,,,,,,,,,,,,,
,SCT,CASH EBITDA,," (5,403)"," (44,301)"," (11,142)"," (28,934)"," 7,009 "," (41,229)"," (1,358)"," (83,413)"," (103,167)"," (40,221)"," (27,362)"," (78,497)"," 18,552 "," (64,390)"," (120,732)",-58%,-26%,-56%
,SCT,CASH EBITDA MARGIN,,-3%,-27%,-5%,-16%,3%,-25%,-1%,-78%,-148%,-25%,-16%,-70%,8%,-119%,-119%,,,
,SCT,Staffing % Revenue,,18%,22%,17%,20%,16%,22%,19%,37%,56%,24%,21%,33%,14%,71%,71%,,,
,SCT,Fixed cost % Revenue,,25%,32%,26%,26%,22%,30%,21%,45%,62%,27%,29%,44%,20%,49%,49%,,,
,SCT,Fixed cost -Rental % Revenue,,32%,41%,32%,38%,29%,41%,30%,65%,103%,42%,39%,63%,29%,68%,68%,,,
,,,,,,,,,,,,,,,,,,,,,
3,CPT,Doanh thu NMS,NMS," 63,526 "," 60,671 "," 67,413 "," 95,696 "," 61,600 "," 51,893 "," 65,847 "," 48,211 "," 22,460 "," 87,371 "," 77,677 "," 39,567 "," 95,850 "," 21,426 "," 40,174 ",42%,2%,-37%
,CPT,Doanh thu PT,PT," 81,916 "," 66,093 "," 71,903 "," 57,955 "," 77,888 "," 53,258 "," 108,811 "," 66,961 "," 12,647 "," 75,643 "," 90,529 "," 60,210 "," 117,150 "," 26,144 "," 49,019 ",42%,-19%,-40%
,CPT,Doanh thu Supplement,Supplement," 3,389 "," 5,599 "," 3,133 "," 2,103 "," 3,660 "," 2,495 ", 782 , 609 , 94 , -   ," 1,000 ", 914 , -   , 196 , 368 ,0%,-60%,-89%
,CPT,Doanh thu Y&I,Y&I," 1,274 "," 1,010 ", -   ," 3,660 "," 3,611 "," 3,373 ", -   , -   , -   ," 3,639 ", -   , -   , -   , -   , -   ,0%,0%,-100%
,CPT,Doanh thu Hypoxi,Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , 667 , -   , -   , -   , -   , -   ,0%,0%,0%
,CPT,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,CPT,Doanh thu Califresh & Retail,Califresh and Retail," 5,138 "," 5,802 "," 5,351 "," 5,853 "," 4,658 "," 5,408 "," 5,947 "," 4,511 "," 2,813 "," 2,941 "," 5,485 "," 3,702 "," 5,000 "," 2,145 "," 4,021 ",80%,9%,-22%
,CPT,TỔNG DOANH THU,TOTAL REVENUE," 155,243 "," 139,175 "," 147,800 "," 165,267 "," 151,418 "," 116,427 "," 181,387 "," 120,293 "," 38,014 "," 170,261 "," 174,690 "," 104,393 "," 218,000 "," 49,911 "," 93,582 ",43%,-10%,-40%
,CPT,,,,,,,,,,,,,,,,,,,,
,CPT,Chi phí biến đổi theo doanh thu,Total Variable Cost," 49,027 "," 49,032 "," 48,985 "," 49,896 "," 56,034 "," 42,312 "," 54,894 "," 39,475 "," 9,139 "," 51,473 "," 55,789 "," 33,047 "," 67,468 "," 15,447 "," 28,962 ",43%,-12%,-41%
,CPT,Chi phí lương,Total Staffing cost," 31,903 "," 33,802 "," 34,982 "," 35,249 "," 35,893 "," 36,318 "," 32,472 "," 32,009 "," 31,854 "," 32,376 "," 31,853 "," 31,052 "," 30,243 "," 16,775 "," 31,452 ",104%,1%,-1%
,CPT,Chi phí lương - NMS,Staffing - NMS," 8,431 "," 9,132 "," 9,605 "," 10,041 "," 11,677 "," 10,812 "," 7,942 "," 7,348 "," 7,650 "," 8,491 "," 7,870 "," 7,630 "," 6,929 "," 4,133 "," 7,750 ",112%,2%,-8%
,CPT,Chi phí lương - PT,Staffing - PT," 9,509 "," 10,641 "," 11,130 "," 10,657 "," 10,022 "," 10,793 "," 9,956 "," 9,951 "," 10,254 "," 9,192 "," 8,701 "," 8,777 "," 8,409 "," 4,661 "," 8,739 ",104%,0%,-8%
,CPT,Chi phí lương - Hypoxi,Staffing - Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,CPT,Chi phí lương - Califresh,Staffing - CAA," 1,061 "," 1,022 "," 1,002 "," 1,058 "," 1,080 "," 1,446 "," 1,413 "," 1,239 ", 986 ," 1,113 "," 1,022 ", 787 ," 1,092 ", 482 , 905 ,83%,15%,-15%
,CPT,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,CPT,Chi phí lương - Yoga,Staffing - Yoga," 3,810 "," 4,198 "," 4,079 "," 4,168 "," 4,223 "," 4,211 "," 4,350 "," 4,081 "," 4,113 "," 4,100 "," 4,111 "," 4,241 "," 4,111 "," 2,227 "," 4,176 ",102%,-2%,10%
,CPT,Chi phí lương - GX,Staffing - GX, 839 , 810 , 907 , 906 , 857 , 752 , 797 , 878 , 882 , 852 , 855 , 870 , 855 , 460 , 862 ,101%,-1%,3%
,CPT,Chi phí lương - MS,Staffing - MS," 7,371 "," 7,114 "," 7,381 "," 7,467 "," 7,113 "," 7,378 "," 7,066 "," 7,510 "," 6,953 "," 7,603 "," 7,981 "," 7,792 "," 7,533 "," 4,206 "," 7,886 ",105%,1%,7%
,CPT,Chi phí lương - CMO,Staffing - CMO, 882 , 886 , 878 , 952 , 921 , 926 , 947 ," 1,002 "," 1,016 "," 1,026 "," 1,314 ", 955 ," 1,314 ", 605 ," 1,135 ",86%,19%,29%
,CPT,Chi phí cố định,Total Fixed cost," 32,863 "," 33,416 "," 41,839 "," 42,731 "," 41,246 "," 40,865 "," 39,740 "," 40,374 "," 32,911 "," 36,236 "," 40,769 "," 42,875 "," 38,757 "," 22,305 "," 41,822 ",108%,-2%,27%
,CPT,Sửa chữa & bảo trì,Repair & maintenance," 3,133 "," 2,224 "," 3,424 "," 5,057 "," 1,891 "," 2,718 "," 1,591 "," 1,212 "," 1,610 "," 1,651 "," 1,729 ", 772 ," 1,945 ", 667 ," 1,251 ",64%,62%,-60%
