,30-Jun-26,USD,,,,,,,,,,,,,,,,,,,
,Today,6/16/2026,,,,,,,,,,,,,,,,,,,
,,,,30-Jun-25,31-Jul-25,31-Aug-25,30-Sep-25,31-Oct-25,30-Nov-25,31-Dec-25,31-Jan-26,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,30-Jun-26,30-Jun-26,,,
No.,Club,Categories,,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,Target,MTD,Projection,% Target,MoM,YoY
,CPT,Vật tư tiêu hao,Supplies," 4,145 "," 4,619 "," 4,814 "," 4,408 "," 5,207 "," 5,407 "," 5,211 "," 5,206 "," 3,636 "," 3,961 "," 4,237 "," 5,147 "," 4,099 "," 2,502 "," 4,692 ",114%,-9%,13%
,CPT,Vật tư tiêu hao,Utilities," 11,633 "," 12,589 "," 19,330 "," 19,074 "," 20,250 "," 18,080 "," 18,218 "," 18,499 "," 13,500 "," 16,155 "," 19,199 "," 22,686 "," 17,677 "," 11,170 "," 20,943 ",118%,-8%,80%
,CPT,Chi phí chung khác,Other OH," 13,953 "," 13,985 "," 14,271 "," 14,192 "," 13,898 "," 14,660 "," 14,720 "," 15,457 "," 14,165 "," 14,470 "," 15,603 "," 14,270 "," 15,037 "," 7,966 "," 14,937 ",99%,5%,7%
,CPT,Giặt khăn,Laundry Service," 6,613 "," 6,385 "," 6,552 "," 6,432 "," 6,350 "," 6,571 "," 6,665 "," 6,941 "," 5,411 "," 6,672 "," 7,538 "," 7,273 "," 7,406 "," 3,950 "," 7,406 ",100%,2%,12%
,CPT,Bảo vệ,Security, 908 , 875 , 900 , 928 , 873 , 903 , 866 , 936 ," 1,078 ", 818 , 431 , 373 , 402 , 214 , 402 ,100%,8%,-56%
,CPT,Vệ sinh,Cleaning_Center," 3,661 "," 3,687 "," 3,669 "," 3,665 "," 3,676 "," 3,945 "," 3,943 "," 4,450 "," 4,587 "," 4,578 "," 4,445 "," 4,248 "," 4,346 "," 2,318 "," 4,346 ",100%,2%,19%
,CPT,Khác,Others," 2,772 "," 3,037 "," 3,149 "," 3,167 "," 2,999 "," 3,242 "," 3,246 "," 3,129 "," 3,088 "," 2,403 "," 3,188 "," 2,376 "," 2,882 "," 1,484 "," 2,782 ",97%,17%,0%
,CPT,Chi phí cố định - Thuê,Total Fixed cost-rental," 70,951 "," 72,247 "," 72,452 "," 72,327 "," 72,533 "," 73,676 "," 71,174 "," 72,718 "," 76,558 "," 70,570 "," 71,174 "," 74,249 "," 72,711 "," 38,779 "," 72,711 ",100%,-2%,2%
,CPT,Chi phí cố định - Khác,Total Fixed costs - Others," 2,828 "," 2,476 "," 2,443 "," 2,811 "," 2,932 "," 2,912 "," 2,897 "," 3,393 "," 2,745 "," 3,234 "," 3,216 "," 2,374 "," 2,795 "," 1,491 "," 2,795 ",100%,18%,-1%
,CPT,TỔNG CHI PHÍ,TOTAL COST," 187,573 "," 190,973 "," 200,701 "," 203,015 "," 208,638 "," 196,083 "," 201,177 "," 187,970 "," 153,207 "," 193,889 "," 202,800 "," 183,597 "," 211,974 "," 94,796 "," 177,743 ",84%,-3%,-5%
,CPT,,,,,,,,,,,,,,,,,,,,
,CPT,CASH EBITDA,," (32,329)"," (51,798)"," (52,901)"," (37,747)"," (57,221)"," (79,656)"," (19,790)"," (67,677)"," (115,193)"," (23,628)"," (28,111)"," (79,204)"," 6,026 "," (44,886)"," (84,161)",-41%,-7%,-34%
,CPT,CASH EBITDA MARGIN,,-21%,-37%,-36%,-23%,-38%,-68%,-11%,-56%,-303%,-14%,-16%,-76%,3%,-90%,-90%,,,
,CPT,Staffing % Revenue,,21%,24%,24%,21%,24%,31%,18%,27%,84%,19%,18%,30%,14%,34%,34%,,,
,CPT,Fixed cost % Revenue,,21%,24%,28%,26%,27%,35%,22%,34%,87%,21%,23%,41%,18%,45%,45%,,,
,CPT,Fixed cost -Rental % Revenue,,46%,52%,49%,44%,48%,63%,39%,60%,201%,41%,41%,71%,33%,78%,78%,,,
,,,,,,,,,,,,,,,,,,,,,
4,PCO,Doanh thu NMS,NMS," 78,789 "," 77,953 "," 84,718 "," 75,510 "," 99,067 "," 61,399 "," 74,231 "," 38,833 "," 26,692 "," 62,548 "," 80,289 "," 55,619 ", -   ," 25,262 "," 47,367 ",0%,-15%,-40%
,PCO,Doanh thu PT,PT," 72,136 "," 78,621 "," 47,799 "," 72,581 "," 82,130 "," 80,606 "," 90,084 "," 35,929 "," 6,055 "," 56,703 "," 46,144 "," 79,419 ", -   ," 15,137 "," 28,382 ",0%,-64%,-61%
,PCO,Doanh thu Supplement,Supplement," 2,541 "," 1,784 "," 1,131 "," 1,514 "," 2,033 "," 1,554 "," 2,025 ", 469 , 142 , 339 , 768 ," 1,441 ", -   , 310 , 581 ,0%,-60%,-77%
,PCO,Doanh thu Y&I,Y&I, 235 ," 2,343 "," 1,892 "," 2,970 "," 1,652 "," 2,158 ", -   ," 1,540 ", -   ," 1,202 "," 2,222 ", -   , -   ," 1,157 "," 2,169 ",0%,0%,821%
,PCO,Doanh thu Hypoxi,Hypoxi," 9,354 "," 11,179 "," 9,853 "," 2,540 "," 11,603 "," 7,327 "," 9,478 "," 8,028 "," 2,869 "," 5,848 "," 3,916 ", 990 , -   , 410 , 769 ,0%,-22%,-92%
,PCO,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,PCO,Doanh thu Califresh & Retail,Califresh and Retail," 6,285 "," 6,860 "," 6,074 "," 6,083 "," 6,233 "," 6,430 "," 5,871 "," 5,664 "," 3,135 "," 2,635 "," 5,980 "," 5,772 ", -   ," 1,709 "," 3,204 ",0%,-44%,-49%
,PCO,TỔNG DOANH THU,TOTAL REVENUE," 169,339 "," 178,741 "," 151,467 "," 161,199 "," 202,717 "," 159,474 "," 181,690 "," 90,463 "," 38,893 "," 129,276 "," 139,318 "," 143,240 "," 207,000 "," 43,985 "," 82,471 ",40%,-42%,-51%
,PCO,,,,,,,,,,,,,,,,,,,,
,PCO,Chi phí biến đổi theo doanh thu,Total Variable Cost," 50,684 "," 58,728 "," 46,562 "," 51,217 "," 64,867 "," 52,247 "," 62,234 "," 37,967 "," 11,371 "," 48,265 "," 41,176 "," 36,965 "," 65,791 "," 13,980 "," 26,212 ",40%,-29%,-48%
,PCO,Chi phí lương,Total Staffing cost," 28,521 "," 32,105 "," 30,477 "," 32,491 "," 30,649 "," 31,634 "," 32,151 "," 35,623 "," 32,432 "," 35,937 "," 36,045 "," 35,005 "," 33,869 "," 18,947 "," 35,525 ",105%,1%,25%
,PCO,Chi phí lương - NMS,Staffing - NMS," 6,683 "," 8,737 "," 6,658 "," 7,246 "," 7,032 "," 7,138 "," 6,773 "," 7,387 "," 6,644 "," 8,145 "," 7,407 "," 7,586 "," 6,015 "," 3,998 "," 7,497 ",125%,-1%,12%
,PCO,Chi phí lương - PT,Staffing - PT," 8,334 "," 9,824 "," 9,158 "," 9,833 "," 9,255 "," 9,663 "," 10,318 "," 10,533 "," 11,106 "," 12,820 "," 12,211 "," 10,818 "," 11,521 "," 6,141 "," 11,514 ",100%,6%,38%
,PCO,Chi phí lương - Hypoxi,Staffing - Hypoxi," 1,457 "," 1,402 "," 1,333 "," 1,544 "," 1,092 "," 1,080 "," 1,242 "," 1,395 "," 1,447 "," 1,279 "," 1,305 "," 1,289 "," 1,305 ", 692 ," 1,297 ",99%,1%,-11%
,PCO,Chi phí lương - Califresh,Staffing - CAA, 939 ," 1,318 "," 1,056 "," 1,121 "," 1,045 "," 1,183 "," 1,086 "," 1,111 ", 786 , 976 ," 1,291 "," 1,469 "," 1,360 ", 736 ," 1,380 ",101%,-6%,47%
,PCO,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,PCO,Chi phí lương - Yoga,Staffing - Yoga," 3,947 "," 3,450 "," 3,525 "," 3,582 "," 3,703 "," 3,688 "," 3,764 "," 3,689 "," 3,557 "," 3,537 "," 3,447 "," 3,616 "," 3,447 "," 1,883 "," 3,532 ",102%,-2%,-11%
,PCO,Chi phí lương - GX,Staffing - GX," 1,405 "," 1,125 "," 1,546 "," 1,507 "," 1,415 "," 1,172 "," 1,419 "," 1,303 "," 1,244 "," 1,367 "," 1,305 "," 1,220 "," 1,305 ", 673 ," 1,263 ",97%,3%,-10%
,PCO,Chi phí lương - MS,Staffing - MS," 5,196 "," 5,685 "," 6,452 "," 6,892 "," 6,338 "," 6,903 "," 6,751 "," 9,316 "," 6,800 "," 6,966 "," 8,297 "," 8,113 "," 8,134 "," 4,376 "," 8,205 ",101%,1%,58%
,PCO,Chi phí lương - CMO,Staffing - CMO, 560 , 563 , 749 , 766 , 768 , 807 , 799 , 889 , 849 , 846 , 783 , 894 , 783 , 447 , 838 ,107%,-6%,50%
,PCO,Chi phí cố định,Total Fixed cost," 33,614 "," 33,158 "," 35,010 "," 35,098 "," 38,039 "," 36,500 "," 35,658 "," 35,400 "," 29,387 "," 32,676 "," 33,446 "," 34,225 "," 35,131 "," 18,046 "," 33,836 ",96%,-1%,1%
,PCO,Sửa chữa & bảo trì,Repair & maintenance," 1,700 "," 1,356 "," 2,188 "," 2,361 "," 2,284 "," 1,915 "," 2,139 "," 2,146 "," 1,603 "," 1,073 ", 601 , 710 ," 2,118 ", 350 , 656 ,31%,-8%,-61%
,PCO,Vật tư tiêu hao,Supplies," 3,230 "," 3,521 "," 3,611 "," 3,677 "," 4,640 "," 3,932 "," 3,829 "," 3,295 "," 2,374 "," 2,637 "," 2,741 "," 4,170 "," 3,522 "," 1,843 "," 3,456 ",98%,-17%,7%
,PCO,Vật tư tiêu hao,Utilities," 16,704 "," 16,574 "," 16,627 "," 16,526 "," 17,491 "," 17,288 "," 16,867 "," 17,035 "," 13,979 "," 16,326 "," 16,919 "," 17,363 "," 16,762 "," 9,142 "," 17,141 ",102%,-1%,3%
,PCO,Chi phí chung khác,Other OH," 11,980 "," 11,707 "," 12,585 "," 12,533 "," 13,625 "," 13,366 "," 12,824 "," 12,923 "," 11,432 "," 12,639 "," 13,184 "," 11,981 "," 12,728 "," 6,711 "," 12,583 ",99%,5%,5%
,PCO,Giặt khăn,Laundry Service," 3,508 "," 3,157 "," 3,443 "," 3,675 "," 3,860 "," 3,983 "," 3,823 "," 3,774 "," 2,598 "," 3,705 "," 4,475 "," 4,115 "," 4,295 "," 2,291 "," 4,295 ",100%,4%,22%
,PCO,Bảo vệ,Security, 965 , 930 , 957 , 956 , 927 , 959 , 927 ," 1,032 ", 984 , 937 , 461 , 313 , 387 , 206 , 387 ,100%,24%,-60%
,PCO,Vệ sinh,Cleaning_Center," 4,275 "," 4,259 "," 4,393 "," 4,234 "," 4,247 "," 4,575 "," 4,573 "," 4,612 "," 4,612 "," 4,553 "," 4,568 "," 4,067 "," 4,317 "," 2,303 "," 4,317 ",100%,6%,1%
,PCO,Khác,Others," 3,233 "," 3,360 "," 3,792 "," 3,668 "," 4,591 "," 3,848 "," 3,501 "," 3,505 "," 3,238 "," 3,445 "," 3,681 "," 3,486 "," 3,729 "," 1,911 "," 3,584 ",96%,3%,11%
,PCO,Chi phí cố định - Thuê,Total Fixed cost-rental," 50,956 "," 51,307 "," 53,085 "," 53,115 "," 50,891 "," 52,420 "," 51,701 "," 54,760 "," 57,262 "," 53,317 "," 53,351 "," 53,324 "," 53,337 "," 28,447 "," 53,337 ",100%,0%,5%
,PCO,Chi phí cố định - Khác,Total Fixed costs - Others," 2,875 "," 2,601 "," 2,712 "," 2,775 "," 2,670 "," 3,467 "," 3,181 "," 2,290 "," 2,366 "," 2,429 "," 2,617 "," 2,870 "," 2,743 "," 1,463 "," 2,743 ",100%,-4%,-5%
,PCO,TỔNG CHI PHÍ,TOTAL COST," 166,650 "," 177,901 "," 167,846 "," 174,695 "," 187,117 "," 176,268 "," 184,925 "," 166,040 "," 132,819 "," 172,624 "," 166,636 "," 162,389 "," 190,871 "," 80,882 "," 151,653 ",79%,-7%,-9%
,PCO,,,,,,,,,,,,,,,,,,,,
,PCO,CASH EBITDA,," 2,689 ", 840 ," (16,379)"," (13,496)"," 15,601 "," (16,794)"," (3,235)"," (75,578)"," (93,926)"," (43,348)"," (27,318)"," (19,149)"," 16,129 "," (36,897)"," (69,182)",-40%,-36%,-42%
,PCO,CASH EBITDA MARGIN,,2%,0%,-11%,-8%,8%,-11%,-2%,-84%,-242%,-34%,-20%,-13%,8%,-84%,-84%,,,
,PCO,Staffing % Revenue,,17%,18%,20%,20%,15%,20%,18%,39%,83%,28%,26%,24%,16%,43%,43%,,,
,PCO,Fixed cost % Revenue,,20%,19%,23%,22%,19%,23%,20%,39%,76%,25%,24%,24%,17%,41%,41%,,,
,PCO,Fixed cost -Rental % Revenue,,30%,29%,35%,33%,25%,33%,28%,61%,147%,41%,38%,37%,26%,65%,65%,,,
,,,,,,,,,,,,,,,,,,,,,
5,RCC,Doanh thu NMS,NMS," 88,309 "," 79,810 "," 88,570 "," 79,780 "," 61,800 "," 45,987 "," 113,235 "," 49,040 "," 23,928 "," 61,650 "," 51,454 "," 58,498 "," 89,000 "," 25,925 "," 48,610 ",55%,-17%,-45%
,RCC,Doanh thu PT,PT," 78,004 "," 72,834 "," 72,427 "," 47,569 "," 34,365 "," 33,750 "," 58,956 "," 43,082 "," 13,543 "," 45,164 "," 48,073 "," 37,993 "," 79,500 "," 18,640 "," 34,950 ",44%,-8%,-55%
,RCC,Doanh thu Supplement,Supplement," 2,779 "," 1,720 "," 1,353 "," 1,605 "," 1,224 ", 474 , 659 , 234 , -   , 867 , 768 , 539 ," 3,000 ", 49 , 92 ,3%,-83%,-97%
,RCC,Doanh thu Y&I,Y&I," 16,623 "," 1,818 "," 2,859 ", -   , 707 ," 2,229 "," 2,303 "," 1,540 ", -   ," 4,568 "," 2,164 "," 2,164 "," 2,000 ", -   , -   ,0%,-100%,-100%
,RCC,Doanh thu Hypoxi,Hypoxi," 4,228 "," 1,590 ", 808 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,-100%
,RCC,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,RCC,Doanh thu Califresh & Retail,Califresh and Retail," 4,691 "," 5,033 "," 5,143 "," 2,219 "," 4,822 "," 2,469 "," 5,000 "," 1,321 "," 1,322 "," 1,705 "," 1,837 "," 1,376 "," 4,500 ", 666 ," 1,248 ",28%,-9%,-73%
,RCC,TỔNG DOANH THU,TOTAL REVENUE," 194,634 "," 162,806 "," 171,159 "," 131,173 "," 102,918 "," 84,909 "," 180,154 "," 95,216 "," 38,793 "," 113,955 "," 104,297 "," 100,569 "," 178,000 "," 45,280 "," 84,900 ",48%,-16%,-56%
,RCC,,,,,,,,,,,,,,,,,,,,
,RCC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 59,247 "," 48,818 "," 48,960 "," 43,883 "," 37,339 "," 31,110 "," 41,673 "," 25,052 "," 6,460 "," 35,323 "," 28,045 "," 23,998 "," 46,033 "," 11,710 "," 21,956 ",48%,-9%,-63%
,RCC,Chi phí lương,Total Staffing cost," 33,310 "," 33,764 "," 33,914 "," 36,137 "," 33,382 "," 33,189 "," 33,525 "," 32,493 "," 29,212 "," 32,221 "," 32,282 "," 30,987 "," 29,922 "," 16,872 "," 31,635 ",106%,2%,-5%
,RCC,Chi phí lương - NMS,Staffing - NMS," 7,546 "," 7,455 "," 8,243 "," 8,149 "," 8,563 "," 8,118 "," 8,926 "," 8,535 "," 7,077 "," 8,732 "," 7,587 "," 7,707 "," 6,646 "," 4,078 "," 7,647 ",115%,-1%,1%
,RCC,Chi phí lương - PT,Staffing - PT," 8,873 "," 9,480 "," 9,628 "," 10,227 "," 9,858 "," 8,830 "," 7,731 "," 7,019 "," 7,109 "," 7,061 "," 7,696 "," 7,279 "," 7,404 "," 3,993 "," 7,487 ",101%,3%,-16%
,RCC,Chi phí lương - Hypoxi,Staffing - Hypoxi," 1,310 "," 1,412 "," 1,467 "," 1,287 "," 1,214 ", 300 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,-100%
,RCC,Chi phí lương - Califresh,Staffing - CAA," 1,209 "," 1,192 "," 1,334 "," 1,264 "," 1,184 "," 1,192 "," 1,110 "," 1,332 "," 1,141 "," 1,136 "," 1,277 "," 1,268 "," 1,346 ", 679 ," 1,273 ",95%,0%,5%
,RCC,Chi phí lương - Spa,Staffing - Spa," 1,007 ", 982 , -   ," 1,001 ", -   , 985 , 978 ," 1,045 ", -   ," 1,025 "," 1,042 "," 1,017 ", -   , 549 ," 1,030 ",0%,1%,2%
,RCC,Chi phí lương - Yoga,Staffing - Yoga," 2,959 "," 3,388 "," 3,178 "," 3,173 "," 3,224 "," 3,291 "," 4,217 "," 3,207 "," 3,217 "," 3,201 "," 3,234 "," 3,298 "," 3,234 "," 1,742 "," 3,266 ",101%,-1%,10%
,RCC,Chi phí lương - GX,Staffing - GX, 770 , 703 , 716 , 745 , 716 , 819 , 743 , 836 , 831 , 830 , 783 , 773 , 783 , 415 , 778 ,99%,1%,1%
,RCC,Chi phí lương - MS,Staffing - MS," 9,015 "," 8,405 "," 8,536 "," 9,435 "," 7,792 "," 8,828 "," 8,967 "," 9,611 "," 8,953 "," 9,307 "," 9,800 "," 8,745 "," 9,645 "," 4,945 "," 9,273 ",96%,6%,3%
,RCC,Chi phí lương - CMO,Staffing - CMO, 622 , 746 , 813 , 857 , 831 , 825 , 853 , 906 , 883 , 927 , 863 , 901 , 863 , 470 , 882 ,102%,-2%,42%
,RCC,Chi phí cố định,Total Fixed cost," 37,778 "," 36,637 "," 39,864 "," 37,607 "," 36,159 "," 38,704 "," 37,689 "," 39,322 "," 32,288 "," 33,903 "," 35,643 "," 37,434 "," 37,078 "," 19,487 "," 36,539 ",99%,-2%,-3%
,RCC,Sửa chữa & bảo trì,Repair & maintenance," 1,250 "," 2,100 "," 4,641 "," 2,578 "," 1,217 "," 1,838 ", 499 ," 2,104 "," 1,107 ", 881 , 819 ," 1,320 "," 2,111 ", 570 ," 1,070 ",51%,-19%,-14%
,RCC,Vật tư tiêu hao,Supplies," 4,724 "," 5,070 "," 5,603 "," 4,900 "," 5,973 "," 6,200 "," 5,587 "," 5,141 "," 3,719 "," 5,283 "," 4,351 "," 4,489 "," 5,253 "," 2,357 "," 4,420 ",84%,-2%,-6%
,RCC,Vật tư tiêu hao,Utilities," 18,799 "," 17,915 "," 17,564 "," 18,531 "," 15,041 "," 17,886 "," 19,606 "," 19,226 "," 16,827 "," 15,829 "," 17,571 "," 19,534 "," 17,437 "," 9,895 "," 18,552 ",106%,-5%,-1%
,RCC,Chi phí chung khác,Other OH," 13,006 "," 11,552 "," 12,055 "," 11,598 "," 13,928 "," 12,780 "," 11,998 "," 12,851 "," 10,635 "," 11,909 "," 12,902 "," 12,092 "," 12,278 "," 6,665 "," 12,497 ",102%,3%,-4%
,RCC,Giặt khăn,Laundry Service," 5,811 "," 5,035 "," 5,011 "," 5,006 "," 7,061 "," 4,162 "," 4,914 "," 5,158 "," 3,590 "," 4,824 "," 5,742 "," 5,378 "," 5,560 "," 2,965 "," 5,560 ",100%,3%,-4%
,RCC,Bảo vệ,Security, 775 , 748 , 769 , 824 , 800 , 854 , 897 ," 1,630 ", 706 , 703 , 614 , 397 , 505 , 270 , 505 ,100%,27%,-35%
,RCC,Vệ sinh,Cleaning_Center," 3,384 "," 3,372 "," 3,356 "," 3,352 "," 3,362 "," 3,639 "," 3,751 "," 4,031 "," 4,050 "," 4,039 "," 4,172 "," 4,107 "," 4,139 "," 2,208 "," 4,139 ",100%,1%,22%
,RCC,Khác,Others," 3,036 "," 2,397 "," 2,919 "," 2,416 "," 2,705 "," 4,124 "," 2,436 "," 2,033 "," 2,289 "," 2,343 "," 2,374 "," 2,210 "," 2,073 "," 1,222 "," 2,292 ",111%,4%,-24%
,RCC,Chi phí cố định - Thuê,Total Fixed cost-rental," 43,111 "," 43,325 "," 45,312 "," 46,995 "," 49,685 "," 48,659 "," 44,693 "," 47,466 "," 50,805 "," 47,209 "," 47,800 "," 47,998 "," 47,899 "," 25,546 "," 47,899 ",100%,0%,11%
,RCC,Chi phí cố định - Khác,Total Fixed costs - Others," 2,505 "," 3,109 "," 2,896 "," 3,214 "," 2,552 "," 2,308 "," 2,547 "," 2,914 "," 2,939 "," 2,415 "," 2,222 "," 2,430 "," 2,326 "," 1,240 "," 2,326 ",100%,-4%,-7%
,RCC,TỔNG CHI PHÍ,TOTAL COST," 175,950 "," 165,652 "," 170,947 "," 167,836 "," 159,117 "," 153,970 "," 160,126 "," 147,247 "," 121,704 "," 151,071 "," 145,993 "," 142,848 "," 163,258 "," 74,856 "," 140,355 ",86%,-2%,-20%
,RCC,,,,,,,,,,,,,,,,,,,,
,RCC,CASH EBITDA,," 18,684 "," (2,847)", 212 ," (36,662)"," (56,199)"," (69,061)"," 20,028 "," (52,030)"," (82,911)"," (37,116)"," (41,696)"," (42,279)"," 14,742 "," (29,576)"," (55,455)",-38%,-14%,-36%
,RCC,CASH EBITDA MARGIN,,10%,-2%,0%,-28%,-55%,-81%,11%,-55%,-214%,-33%,-40%,-42%,8%,-65%,-65%,,,
,RCC,Staffing % Revenue,,17%,21%,20%,28%,32%,39%,19%,34%,75%,28%,31%,31%,17%,37%,37%,,,
,RCC,Fixed cost % Revenue,,19%,23%,23%,29%,35%,46%,21%,41%,83%,30%,34%,37%,21%,43%,43%,,,
,RCC,Fixed cost -Rental % Revenue,,22%,27%,26%,36%,48%,57%,25%,50%,131%,41%,46%,48%,27%,56%,56%,,,
,,,,,,,,,,,,,,,,,,,,,
6,FDC,Doanh thu NMS,NMS," 36,952 "," 55,674 "," 46,712 "," 33,508 "," 38,838 "," 34,884 "," 32,510 "," 28,297 "," 16,966 "," 24,524 "," 31,241 "," 45,058 "," 52,946 "," 13,242 "," 24,830 ",47%,-45%,-33%
,FDC,Doanh thu PT,PT," 48,803 "," 52,491 "," 44,170 "," 37,293 "," 45,333 "," 45,835 "," 53,428 "," 48,760 "," 10,346 "," 62,859 "," 51,518 "," 51,468 "," 62,325 "," 15,950 "," 29,907 ",48%,-42%,-39%
,FDC,Doanh thu Supplement,Supplement," 2,042 "," 2,430 "," 1,824 "," 1,814 "," 2,500 "," 1,400 "," 1,225 "," 1,218 ", 142 , 673 , 727 , 814 ," 3,500 ", 98 , 184 ,5%,-77%,-91%
,FDC,Doanh thu Y&I,Y&I, -   ," 1,239 "," 1,040 "," 1,049 ", 334 ," 2,966 ", -   , (238), -   , (279)," 1,111 ", -   , -   , -   , -   ,0%,0%,0%
,FDC,Doanh thu Hypoxi,Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,FDC,Doanh thu VAS,VAS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,FDC,Doanh thu Califresh & Retail,Califresh and Retail," 1,534 "," 2,476 "," 2,647 "," 2,612 "," 2,412 "," 2,019 "," 2,610 "," 1,663 "," 1,448 "," 1,667 "," 1,410 "," 2,671 "," 2,729 ", 951 ," 1,782 ",65%,-33%,16%
,FDC,TỔNG DOANH THU,TOTAL REVENUE," 89,331 "," 114,310 "," 96,394 "," 76,276 "," 89,417 "," 87,104 "," 89,773 "," 79,700 "," 28,901 "," 89,445 "," 86,008 "," 100,011 "," 117,000 "," 30,241 "," 56,702 ",48%,-43%,-37%
,FDC,,,,,,,,,,,,,,,,,,,,
,FDC,Chi phí biến đổi theo doanh thu,Total Variable Cost," 29,186 "," 36,885 "," 33,916 "," 32,825 "," 32,097 "," 31,533 "," 28,143 "," 27,543 "," 7,695 "," 34,581 "," 30,207 "," 27,395 "," 38,545 "," 9,963 "," 18,680 ",48%,-32%,-36%
,FDC,Chi phí lương,Total Staffing cost," 23,938 "," 24,528 "," 26,853 "," 26,463 "," 26,399 "," 25,567 "," 24,097 "," 27,088 "," 25,814 "," 25,974 "," 24,939 "," 24,367 "," 23,962 "," 13,148 "," 24,653 ",103%,1%,3%
,FDC,Chi phí lương - NMS,Staffing - NMS," 6,877 "," 6,855 "," 7,878 "," 7,486 "," 7,396 "," 7,329 "," 7,855 "," 7,838 "," 7,691 "," 7,987 "," 6,549 "," 6,508 "," 5,756 "," 3,482 "," 6,529 ",113%,0%,-5%
,FDC,Chi phí lương - PT,Staffing - PT," 6,700 "," 7,016 "," 7,500 "," 7,078 "," 7,639 "," 7,367 "," 7,011 "," 7,536 "," 7,663 "," 6,336 "," 6,150 "," 5,633 "," 6,059 "," 3,142 "," 5,891 ",97%,5%,-12%
,FDC,Chi phí lương - Hypoxi,Staffing - Hypoxi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,FDC,Chi phí lương - Califresh,Staffing - CAA, 736 , 790 , 750 , 818 , 751 , 667 , 613 ," 1,077 ", 581 , 771 , 885 , 875 , 955 , 469 , 880 ,92%,1%,20%
,FDC,Chi phí lương - Spa,Staffing - Spa, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%
,FDC,Chi phí lương - Yoga,Staffing - Yoga," 4,128 "," 4,203 "," 4,165 "," 4,096 "," 4,229 "," 4,168 "," 2,940 "," 4,178 "," 4,206 "," 4,113 "," 4,173 "," 4,140 "," 4,173 "," 2,217 "," 4,157 ",100%,0%,1%
,FDC,Chi phí lương - GX,Staffing - GX, 421 , 393 , 443 , 485 , 546 , 449 , 438 , 427 , 437 , 477 , 460 , 496 , 460 , 255 , 478 ,104%,-4%,13%
,FDC,Chi phí lương - MS,Staffing - MS," 4,246 "," 4,429 "," 5,346 "," 5,678 "," 5,074 "," 4,773 "," 4,447 "," 5,156 "," 4,391 "," 5,454 "," 5,933 "," 5,891 "," 5,769 "," 3,153 "," 5,912 ",102%,0%,39%
,FDC,Chi phí lương - CMO,Staffing - CMO, 831 , 842 , 771 , 823 , 763 , 814 , 793 , 876 , 846 , 837 , 790 , 824 , 790 , 430 , 807 ,102%,-2%,-3%
,FDC,Chi phí cố định,Total Fixed cost," 19,390 "," 18,679 "," 20,073 "," 20,151 "," 20,831 "," 20,884 "," 19,637 "," 19,810 "," 17,124 "," 18,602 "," 19,261 "," 18,326 "," 20,038 "," 10,023 "," 18,794 ",94%,3%,-3%
,FDC,Sửa chữa & bảo trì,Repair & maintenance," 1,481 "," 1,437 "," 2,218 "," 1,958 "," 1,524 "," 1,654 ", 846 ," 1,199 ", 569 , 700 , 652 , 552 ," 1,767 ", 321 , 602 ,34%,9%,-59%
,FDC,Vật tư tiêu hao,Supplies," 1,903 "," 1,825 "," 2,150 "," 2,013 "," 2,436 "," 2,077 "," 2,014 "," 2,103 "," 1,440 "," 1,289 "," 1,738 "," 1,899 "," 1,924 ", 970 ," 1,818 ",95%,-4%,-4%
,FDC,Vật tư tiêu hao,Utilities," 8,840 "," 8,454 "," 8,527 "," 9,385 "," 9,690 "," 9,766 "," 9,425 "," 9,393 "," 8,335 "," 9,758 "," 9,410 "," 9,364 "," 9,235 "," 5,006 "," 9,387 ",102%,0%,6%
,FDC,Chi phí chung khác,Other OH," 7,165 "," 6,964 "," 7,179 "," 6,795 "," 7,181 "," 7,387 "," 7,351 "," 7,116 "," 6,779 "," 6,855 "," 7,461 "," 6,511 "," 7,112 "," 3,726 "," 6,986 ",98%,7%,-2%
