Check in,,,,
Month,Date,Day,Club,Checked-in
45838,45826,18,AMY,696
45838,45826,18,MPC,1399
45838,45826,18,PCH,1047
45838,45826,18,CVC,505
45838,45826,18,HDY,662
45838,45826,18,TDU,1134
45838,45826,18,GVC,787
45838,45826,18,WPC,1440
45838,45826,18,SCC,1055
45838,45826,18,HDC,1249
45838,45826,18,LMC,939
45838,45826,18,GDC,808
45838,45826,18,GMC,665
45838,45826,18,VTC,464
45838,45826,18,MAC,574
45838,45826,18,AMU,573
45838,45826,18,VSC,743
45838,45826,18,VMC,665
45838,45826,18,JCQ,0
45838,45826,18,JVJ,159
45838,45826,18,TTC,0
45838,45827,19,HVP,783
45838,45827,19,SCT,1618
45838,45827,19,CPT,980
45838,45827,19,PCO,1020
45838,45827,19,RCC,1054
45838,45827,19,FDC,521
45838,45827,19,BDS,453
45838,45827,19,DNG,1168
45838,45827,19,TCM,1396
45838,45827,19,TDC,425
45838,45827,19,VVO,667
45838,45827,19,LTC,1022
45838,45827,19,PPC,565
45838,45827,19,PBH,569
45838,45827,19,NTC,815
45838,45827,19,CTC,754
45838,45827,19,AMY,536
45838,45827,19,MPC,1043
45838,45827,19,PCH,900
45838,45827,19,CVC,461
45838,45827,19,HDY,602
45838,45827,19,TDU,935
45838,45827,19,GVC,643
45838,45827,19,WPC,1213
45838,45827,19,SCC,786
45838,45827,19,HDC,985
45838,45827,19,LMC,640
45838,45827,19,GDC,519
45838,45827,19,GMC,439
45838,45827,19,VTC,402
45838,45827,19,MAC,403
45838,45827,19,AMU,451
45838,45827,19,VSC,611
45838,45827,19,VMC,581
45838,45827,19,JCQ,0
45838,45827,19,JVJ,118
45838,45827,19,TTC,0
45838,45828,20,HVP,935
45838,45828,20,SCT,1706
45838,45828,20,CPT,1197
45838,45828,20,PCO,1056
45838,45828,20,RCC,1251
45838,45828,20,FDC,564
45838,45828,20,BDS,545
45838,45828,20,DNG,1313
45838,45828,20,TCM,1445
45838,45828,20,TDC,738
45838,45828,20,VVO,863
45838,45828,20,LTC,974
45838,45828,20,PPC,608
45838,45828,20,PBH,559
45838,45828,20,NTC,846
45838,45828,20,CTC,1039
45838,45828,20,AMY,631
45838,45828,20,MPC,1353
45838,45828,20,PCH,902
45838,45828,20,CVC,354
45838,45828,20,HDY,526
45838,45828,20,TDU,1038
45838,45828,20,GVC,736
45838,45828,20,WPC,1335
45838,45828,20,SCC,849
45838,45828,20,HDC,1202
45838,45828,20,LMC,790
45838,45828,20,GDC,727
45838,45828,20,GMC,550
45838,45828,20,VTC,411
45838,45828,20,MAC,545
45838,45828,20,AMU,569
45838,45828,20,VSC,643
45838,45828,20,VMC,603
45838,45828,20,JCQ,0
45838,45828,20,JVJ,131
45838,45828,20,TTC,0
45838,45829,21,HVP,773
45838,45829,21,SCT,1452
45838,45829,21,CPT,771
45838,45829,21,PCO,823
45838,45829,21,RCC,1259
45838,45829,21,FDC,562
45838,45829,21,BDS,410
45838,45829,21,DNG,1157
45838,45829,21,TCM,1286
45838,45829,21,TDC,672
45838,45829,21,VVO,830
45838,45829,21,LTC,748
45838,45829,21,PPC,473
45838,45829,21,PBH,454
45838,45829,21,NTC,722
45838,45829,21,CTC,871
45838,45829,21,AMY,493
45838,45829,21,MPC,1119
45838,45829,21,PCH,755
45838,45829,21,CVC,348
45838,45829,21,HDY,320
45838,45829,21,TDU,837
45838,45829,21,GVC,636
45838,45829,21,WPC,1201
45838,45829,21,SCC,758
45838,45829,21,HDC,1032
45838,45829,21,LMC,759
45838,45829,21,GDC,609
45838,45829,21,GMC,553
45838,45829,21,VTC,324
45838,45829,21,MAC,392
45838,45829,21,AMU,475
45838,45829,21,VSC,513
45838,45829,21,VMC,520
45838,45829,21,JCQ,0
45838,45829,21,JVJ,102
45838,45829,21,TTC,0
45838,45830,22,HVP,683
45838,45830,22,SCT,1309
45838,45830,22,CPT,749
45838,45830,22,PCO,749
45838,45830,22,RCC,1106
45838,45830,22,FDC,442
45838,45830,22,BDS,357
45838,45830,22,DNG,824
45838,45830,22,TCM,1252
45838,45830,22,TDC,529
45838,45830,22,VVO,751
45838,45830,22,LTC,625
45838,45830,22,PPC,416
45838,45830,22,PBH,347
45838,45830,22,NTC,558
45838,45830,22,CTC,859
45838,45830,22,AMY,377
45838,45830,22,MPC,1094
45838,45830,22,PCH,684
45838,45830,22,CVC,347
45838,45830,22,HDY,315
45838,45830,22,TDU,782
45838,45830,22,GVC,511
45838,45830,22,WPC,1183
45838,45830,22,SCC,579
45838,45830,22,HDC,838
45838,45830,22,LMC,677
45838,45830,22,GDC,491
45838,45830,22,GMC,535
45838,45830,22,VTC,294
45838,45830,22,MAC,389
45838,45830,22,AMU,456
45838,45830,22,VSC,454
45838,45830,22,VMC,489
45838,45830,22,JCQ,0
45838,45830,22,JVJ,85
45838,45830,22,TTC,0
45838,45831,23,HVP,1053
45838,45831,23,SCT,1843
45838,45831,23,CPT,1327
45838,45831,23,PCO,1115
45838,45831,23,RCC,1433
45838,45831,23,FDC,634
45838,45831,23,BDS,664
45838,45831,23,DNG,1429
45838,45831,23,TCM,1676
45838,45831,23,TDC,794
45838,45831,23,VVO,1035
45838,45831,23,LTC,1133
45838,45831,23,PPC,644
45838,45831,23,PBH,648
45838,45831,23,NTC,941
45838,45831,23,CTC,1300
45838,45831,23,AMY,680
45838,45831,23,MPC,1486
45838,45831,23,PCH,1008
45838,45831,23,CVC,528
45838,45831,23,HDY,680
45838,45831,23,TDU,1076
45838,45831,23,GVC,855
45838,45831,23,WPC,1459
45838,45831,23,SCC,987
45838,45831,23,HDC,1338
45838,45831,23,LMC,894
45838,45831,23,GDC,804
45838,45831,23,GMC,700
45838,45831,23,VTC,460
45838,45831,23,MAC,588
45838,45831,23,AMU,603
45838,45831,23,VSC,726
45838,45831,23,VMC,721
45838,45831,23,JCQ,0
45838,45831,23,JVJ,142
45838,45831,23,TTC,0
45838,45832,24,HVP,1111
45838,45832,24,SCT,1958
45838,45832,24,CPT,1309
45838,45832,24,PCO,1225
45838,45832,24,RCC,1330
45838,45832,24,FDC,639
45838,45832,24,BDS,641
45838,45832,24,DNG,1409
45838,45832,24,TCM,1725
45838,45832,24,TDC,818
45838,45832,24,VVO,988
45838,45832,24,LTC,1111
45838,45832,24,PPC,670
45838,45832,24,PBH,685
45838,45832,24,NTC,948
45838,45832,24,CTC,1201
45838,45832,24,AMY,707
45838,45832,24,MPC,1391
45838,45832,24,PCH,1034
45838,45832,24,CVC,544
45838,45832,24,HDY,605
45838,45832,24,TDU,1210
45838,45832,24,GVC,868
